OutlierMethod,RMS used,Filter Type,Filter order,low,high,
STD 2,1,Chebyshev 2,3,200,500 
CH1,CH2,CH3,CH4,CH5 
0.120712,-0.005127,0.065277,0.001190,0.007050
-0.057037,0.008194,0.012451,0.005081,0.002792
-0.155045,0.000092,0.015335,0.001694,0.003799
-0.157425,0.002792,0.024948,0.006454,0.002975
-0.118652,-0.010025,-0.107162,0.010483,0.005814
-0.052734,-0.014648,-0.239960,0.013870,0.010208
0.013046,-0.020187,-0.139160,-0.011398,0.005173
0.016388,-0.014877,0.043671,-0.025223,0.005859
0.007828,0.006454,0.124786,-0.013596,0.010757
0.007507,0.019501,0.169693,-0.005997,0.010574
-0.023163,0.028610,0.194366,-0.002701,0.007645
-0.025589,0.007462,0.171570,0.001785,0.006546
-0.043350,0.002609,0.112198,0.007690,0.006134
-0.120758,-0.021561,0.085556,0.008926,0.003250
-0.137421,-0.030167,0.140945,0.006500,-0.000961
-0.085144,-0.025269,0.098419,0.004120,-0.001511
0.004807,-0.030899,-0.007965,0.002518,-0.004990
0.077087,-0.027237,0.008331,-0.001236,-0.002197
0.088531,-0.046738,-0.056122,0.001785,-0.001144
0.084961,-0.043350,-0.204254,-0.001373,-0.003159
0.116592,-0.036026,-0.238586,0.001511,0.001877
0.171249,-0.021378,-0.329819,-0.007095,0.003433
0.215012,-0.005722,-0.351425,0.001144,0.006500
0.164383,0.003799,-0.206360,-0.003708,0.010574
0.022385,0.024628,0.021973,0.001602,0.006500
-0.115997,0.029617,0.213867,-0.001923,0.004898
-0.216522,0.040878,0.246597,0.001877,0.007919
-0.246918,0.030167,0.153488,0.001694,0.007004
-0.162552,0.028061,0.007828,0.000320,0.010117
-0.044769,0.002975,0.023529,0.002014,0.007919
0.096680,-0.027740,0.016251,-0.002335,0.009338
0.137695,-0.051041,-0.005539,0.007278,0.007919
0.058777,-0.066147,0.131607,0.007095,0.006912
0.029617,-0.045639,0.261063,0.001511,0.008240
-0.022705,-0.030533,0.307297,-0.003983,0.007553
-0.062210,0.006409,0.272415,-0.005539,0.006363
-0.110779,0.014236,0.053421,-0.002014,0.006409
-0.156647,0.033646,-0.263580,-0.009018,0.007553
-0.090958,0.025909,-0.345749,0.000320,0.007645
-0.029068,0.033646,-0.266373,-0.010757,0.009064
-0.005264,0.024902,-0.171982,0.001282,0.006454
-0.035156,0.021286,-0.255478,0.002518,-0.001099
-0.099060,-0.002060,-0.277725,0.004532,-0.001328
-0.137238,-0.015884,-0.203339,0.005081,-0.002289
-0.096405,-0.036850,0.016800,0.002060,-0.002838
-0.029663,-0.041336,0.239456,0.004120,-0.000046
0.172211,-0.035385,0.399902,0.003067,0.000183
0.338745,-0.010529,0.439590,0.014145,-0.002106
0.280975,0.007828,0.337234,0.010849,-0.004074
0.218674,0.026047,0.147079,0.003479,0.002655
0.214142,0.041336,0.063492,-0.000778,0.009430
0.180725,0.035751,-0.102310,-0.002380,0.005447
0.128174,0.018402,-0.287704,0.001877,0.002060
0.052414,0.002151,-0.342682,-0.004166,0.000320
-0.081482,-0.021378,-0.369690,-0.006546,-0.005539
-0.240143,-0.043945,-0.348083,0.005264,0.003021
-0.274384,-0.061752,-0.178024,0.002609,0.000320
-0.192856,-0.054840,0.013138,0.000320,0.004349
-0.049393,-0.033096,0.127441,-0.000458,0.007553
0.073883,-0.020462,0.186676,-0.006226,0.009567
0.092468,0.010757,0.287888,-0.009933,0.011353
0.063034,0.040512,0.247696,-0.006226,0.011078
-0.037537,0.046097,0.116318,-0.003891,-0.000275
-0.194778,0.020828,0.062576,0.007736,-0.003525
-0.258453,0.006134,-0.068481,0.019867,-0.000916
-0.212219,-0.010574,-0.066833,0.004623,0.005356
-0.050537,-0.009659,-0.083588,0.001831,0.007278
0.111923,-0.008698,-0.016754,-0.005676,0.007690
0.262939,0.002838,0.144974,-0.001877,0.005264
0.258774,0.004166,0.108261,-0.004074,0.002609
0.147354,0.006454,-0.005356,-0.003296,0.001328
0.062805,0.014969,-0.124283,-0.001144,0.001877
-0.013367,-0.000595,-0.144699,-0.003571,-0.001190
-0.079559,-0.009430,-0.200729,0.003433,-0.001556
-0.078873,-0.020370,-0.154083,0.001328,-0.000778
-0.090088,-0.011078,0.017624,0.002701,-0.003250
-0.113892,0.001877,0.046692,-0.004257,-0.001602
-0.033279,0.019821,0.046875,0.002060,0.003250
0.060287,0.029251,0.092056,0.003708,0.001877
0.084824,0.025726,0.116959,0.008469,0.003754
0.026779,0.018173,0.081482,0.020645,0.003525
-0.077728,-0.012497,-0.092514,0.013367,-0.002335
-0.128494,-0.042618,0.016113,0.005951,-0.001968
-0.080475,-0.067062,0.128311,-0.010849,-0.003799
-0.022614,-0.072052,0.138931,-0.006409,0.001053
0.003891,-0.045181,0.122635,-0.004074,0.006363
-0.012863,-0.006042,-0.011765,-0.014328,0.009659
0.011353,0.019638,-0.162598,-0.026047,0.007507
0.059418,0.039871,-0.183426,-0.019089,0.006363
0.103638,0.033646,-0.095352,0.005630,0.000320
0.127991,0.013596,-0.004166,-0.002609,-0.004166
0.125748,0.003616,0.122543,0.000320,-0.004166
0.044449,-0.002335,0.264542,0.018311,0.003754
0.038177,-0.010986,0.093750,0.020828,-0.001602
0.022156,-0.031036,-0.044540,0.010208,0.007553
0.006454,-0.043991,0.106613,0.005264,0.006866
-0.050903,-0.036209,0.123917,-0.011948,-0.001236
-0.114166,-0.029526,-0.117050,-0.008743,-0.004395
-0.141541,-0.024673,-0.283859,-0.007187,0.002701
-0.120941,-0.044907,-0.206680,0.001602,0.008698
-0.093796,-0.040009,-0.014465,0.002609,0.010345
-0.030533,-0.038086,0.060013,0.006180,0.011581
-0.008698,-0.015884,-0.143234,0.003021,0.009842
-0.054291,-0.007233,-0.156418,0.006729,0.009521
-0.029480,0.023666,-0.128906,-0.008286,0.008652
0.047974,0.050674,0.025635,-0.006500,0.007187
0.181274,0.064178,0.143051,-0.006317,0.004211
0.375320,0.057129,0.250259,0.004715,0.003708
0.328445,0.044495,0.270264,0.011307,0.002975
0.281570,0.026459,0.059830,0.007370,0.002060
0.110687,-0.001190,-0.232910,0.000320,-0.000229
-0.047791,-0.033463,-0.328308,-0.006729,0.000961
-0.164932,-0.058365,-0.129044,-0.002243,0.003891
-0.237671,-0.056213,0.292282,-0.003571,0.002380
-0.250122,-0.032181,0.315353,-0.003799,0.007187
-0.199677,-0.016388,0.186264,-0.004807,0.004257
-0.165161,0.007416,-0.113937,-0.003799,0.001740
-0.132568,0.019913,-0.191299,0.001602,0.001236
-0.110092,0.023117,-0.099976,0.003159,-0.004990
-0.081161,0.016205,-0.207733,0.006866,-0.000504
-0.124832,0.018631,-0.283035,0.002975,0.008331
-0.201462,0.007553,-0.152206,0.016434,0.004715
-0.187317,-0.009659,-0.018173,0.008423,0.007645
-0.047653,-0.025177,0.068207,-0.001877,0.006134
0.146347,-0.014282,0.037445,-0.006134,0.002975
0.234009,0.005356,-0.071777,-0.014511,-0.001877
0.271042,0.018906,-0.142227,-0.009521,-0.005630
0.294846,0.012634,-0.119064,-0.009842,0.001877
0.268158,0.009659,-0.054153,-0.006409,0.004990
0.215561,0.004120,0.048889,-0.002701,0.008423
0.147308,-0.006088,0.183975,0.002060,0.006363
0.081573,-0.000687,0.332794,-0.004990,0.008194
0.017944,-0.002151,0.366119,-0.009933,0.011032
-0.095627,-0.013824,0.268204,-0.002197,0.009201
-0.166489,-0.006454,0.187042,0.006180,0.005814
